RUN	ChallengerFloodIOScenario	challengerfloodioscenario	1588171044369	 	3.1.1
USER	Test challengers.flood.io	1	START	1588171045224	1588171045224
REQUEST	1		Open Home Page	1588171045258	1588171046426	OK	 
REQUEST	1		Start Test Step 1	1588171051452	1588171051731	OK	 
REQUEST	1		Start Test Step 1 Redirect 1	1588171051737	1588171052388	OK	 
REQUEST	1		Start Test Step 1 Redirect 2	1588171052389	1588171052744	OK	 
REQUEST	1		Step 2	1588171057746	1588171058105	OK	 
REQUEST	1		Step 2 Redirect 1	1588171058107	1588171058488	OK	 
REQUEST	1		Step 2 Redirect 2	1588171058489	1588171058846	OK	 
REQUEST	1		Step 3	1588171063855	1588171064175	OK	 
REQUEST	1		Step 3 Redirect 1	1588171064176	1588171064389	OK	 
REQUEST	1		Step 3 Redirect 2	1588171064390	1588171064773	OK	 
REQUEST	1		Step 4	1588171069774	1588171070064	OK	 
REQUEST	1		Step 4 Redirect 1	1588171070065	1588171070368	OK	 
REQUEST	1		Step 4 Redirect 2	1588171070369	1588171070791	OK	 
REQUEST	1		Code	1588171070794	1588171071101	OK	 
REQUEST	1		Step 5	1588171076105	1588171076417	OK	 
REQUEST	1		Step 5 Redirect 1	1588171076419	1588171076629	OK	 
REQUEST	1		Step 5 Redirect 2	1588171076631	1588171076858	OK	 
USER	Test challengers.flood.io	1	END	1588171045224	1588171076866
